05:49:13.775,40.24, 43,44.46, 41,40.68, 42,41.59, 41
05:49:14.882,40.25, 43,44.36, 41,40.45, 42,41.78, 41
05:49:15.982,40.25, 43,44.46, 41,40.56, 42,41.78, 41
05:49:17.081,40.25, 43,44.47, 41,40.48, 42,41.69, 41
05:49:18.181,40.22, 43,44.44, 41,40.45, 42,41.78, 41
05:49:19.277,40.26, 43,44.38, 41,40.38, 42,41.59, 41
05:49:20.388,40.25, 43,44.35, 41,40.47, 42,41.69, 41
05:49:21.495,40.23, 43,44.35, 41,40.54, 42,41.78, 41
05:49:22.599,40.34, 43,44.26, 41,40.47, 42,41.69, 41
05:49:23.708,40.05, 43,44.37, 41,40.58, 42,41.69, 41
05:49:24.812,40.13, 43,44.45, 41,40.36, 42,41.67, 41
05:49:25.914,40.05, 43,44.47, 41,40.36, 42,41.69, 41
05:49:27.042,40.05, 43,44.37, 41,40.47, 42,41.59, 41
05:49:28.145,40.04, 43,44.46, 41,40.48, 42,41.68, 41
05:49:29.245,40.15, 43,44.46, 41,40.47, 42,41.68, 41
05:49:30.345,39.96, 43,44.38, 41,40.37, 42,41.77, 41
05:49:31.443,40.05, 43,44.46, 41,40.58, 42,41.78, 41
05:49:32.543,40.03, 43,44.36, 41,40.36, 42,41.48, 41
05:49:33.645,40.07, 43,44.28, 41,40.47, 42,41.49, 41
05:49:34.750,40.05, 43,44.47, 41,40.45, 42,41.58, 41
05:49:35.851,40.06, 43,44.46, 41,40.47, 42,41.40, 41
05:49:36.956,40.05, 43,44.37, 41,40.47, 42,41.60, 41
05:49:38.067,94.53, 43,44.45, 42,40.46, 42,41.56, 41
05:49:39.172,40.15, 43,44.56, 41,40.58, 42,41.59, 41
05:49:40.273,40.05, 43,44.46, 41,40.48, 42,41.50, 41
05:49:41.389,40.05, 43,44.45, 41,40.57, 42,41.59, 41
05:49:42.494,40.04, 43,44.45, 41,40.46, 42,41.68, 41
05:49:43.594,40.05, 43,44.46, 41,40.47, 42,41.59, 41
05:49:44.695,40.06, 43,44.47, 41,40.48, 42,41.59, 41
05:49:45.796,40.05, 43,44.45, 41,40.47, 42,41.59, 41
05:49:46.898,40.15, 43,44.45, 41,40.56, 42,41.58, 41
05:49:48.013,76.28, 43,49.23, 42,53.06, 43,47.98, 42
05:49:49.116,67.37, 44,59.60, 42,49.10, 43,48.96, 42
05:49:50.232,64.94, 44,64.21, 42,48.40, 43,46.33, 42
05:49:51.336,63.06, 44,51.38, 43,48.13, 43,46.05, 42
05:49:52.449,60.83, 44,50.10, 43,47.72, 43,45.83, 42
05:49:53.553,52.91, 44,65.41, 43,46.06, 44,49.12, 42
05:49:54.661,51.69, 44,67.99, 42,49.94, 44,52.46, 42
05:49:55.769,49.74, 44,78.46, 43,57.06, 44,60.56, 42
05:49:56.873,47.12, 44,75.98, 43,66.97, 44,66.61, 42
05:49:57.976,47.65, 44,68.08, 43,76.34, 44,63.31, 42
05:49:59.083,54.24, 44,62.59, 43,75.01, 44,60.90, 42
05:50:00.192,68.75, 44,55.98, 43,65.33, 44,53.52, 42
05:50:01.298,65.93, 44,50.72, 43,51.12, 44,46.93, 42
05:50:02.406,54.95, 45,89.11, 43,42.00, 43,41.87, 42
05:50:03.513,58.31, 45,85.44, 43,52.76, 44,57.75, 42
05:50:04.614,74.68, 45,49.63, 43,78.28, 44,43.03, 42
05:50:05.719,75.32, 44,48.39, 43,68.58, 44,42.75, 42
05:50:06.828,47.24, 45,78.77, 43,65.68, 44,67.05, 42
05:50:07.934,51.66, 45,72.16, 43,77.26, 44,60.20, 42
05:50:09.052,51.78, 45,71.91, 43,46.16, 44,59.33, 42
05:50:10.166,55.76, 45,70.32, 43,50.33, 44,62.99, 42
05:50:11.294,72.06, 45,48.73, 43,55.56, 44,50.13, 42
05:50:12.408,66.19, 45,56.66, 43,51.83, 44,47.61, 42
05:50:13.517,67.47, 45,50.22, 43,52.48, 44,47.82, 42
05:50:14.631,59.94, 45,67.33, 43,49.28, 44,46.83, 42
05:50:15.745,54.20, 45,78.87, 43,46.96, 44,45.85, 42
05:50:16.852,101.46, 45,45.03, 44,41.04, 44,42.06, 42
05:50:17.964,84.17, 45,53.44, 43,60.75, 44,52.83, 42
05:50:19.064,56.46, 45,59.61, 43,75.20, 44,63.52, 42
05:50:20.173,67.91, 45,54.92, 43,67.06, 44,59.08, 42
05:50:21.278,79.08, 45,50.98, 43,56.43, 45,52.83, 42
05:50:22.380,71.39, 45,50.01, 44,56.15, 44,50.83, 42
05:50:23.487,66.79, 45,57.05, 44,55.07, 44,50.44, 43
05:50:24.600,62.35, 45,51.87, 43,53.42, 45,48.87, 42
